Time,Step,Temp
18:22:10,0,32.57
18:22:11,2,16.61
18:22:12,9,18.29
18:22:13,1,31.39
18:22:14,8,29.28
18:22:15,6,27.71
18:22:16,6,29.83
18:22:17,10,22.42
18:22:18,2,22.56
18:22:19,3,22.44
18:22:20,3,32.71
18:22:21,5,22.17
18:22:22,10,28.91
18:22:23,1,18.59
18:22:24,5,27.04
18:22:25,8,30.04
18:22:26,3,21.14
18:22:27,1,30.93
18:22:28,5,33.16
18:22:29,1,25.74
18:22:30,8,31.01
18:22:31,0,24.12
18:22:32,3,27.65
18:22:33,3,24.7
18:22:34,9,18.2
18:22:35,8,29.34
18:22:36,2,24.61
18:22:37,4,21.15
18:22:38,2,22.92
18:22:39,4,17.31
18:22:40,1,22.47
18:22:41,1,17.56
18:22:42,10,32.86
18:22:43,2,21.74
18:22:44,9,26.78
18:22:45,5,21.24
18:22:46,9,28.43
18:22:47,8,32.57
18:22:48,2,32.56
18:22:49,9,19.65
18:22:50,7,16.31
18:22:51,1,20.09
18:22:52,3,28.21
18:22:53,8,21.42
18:22:54,3,15.62
18:22:55,0,22.48
18:22:56,0,20.05
18:22:57,1,33.13
18:22:58,6,34.35
18:22:59,4,27.61
18:23:00,5,29.02
18:23:01,8,30.26
18:23:02,4,26.29
18:23:03,4,20.8
18:23:04,10,21.21
18:23:05,0,21.03
18:23:06,8,30.68
18:23:07,2,24.01
18:23:08,6,20.42
18:23:09,0,26.88
18:23:10,8,22.04
18:23:11,5,30.33
18:23:12,1,27.16
18:23:13,5,27.99
18:23:14,1,20.97
18:23:15,10,25.55
18:23:16,4,17.5
18:23:17,0,23.35
18:23:18,5,25.91
18:23:19,5,23.71
18:23:20,6,34.11
18:23:21,2,16.09
18:23:22,4,20.78
18:23:23,10,26.67
18:23:24,8,20.64
18:23:25,8,31.6
18:23:26,10,26.55
18:23:27,7,30.65
18:23:28,3,19.17
18:23:29,6,22.05
18:23:30,0,23.21
18:23:31,5,29.91
18:23:32,2,30.84
18:23:33,2,18.59
18:23:34,10,29.94
18:23:35,3,33.86
18:23:36,5,27.2
18:23:37,10,19.09
18:23:38,1,23.11
18:23:39,7,28.05
18:23:40,7,16.12
18:23:41,10,31.22
18:23:42,5,25.79
18:23:43,4,15.83
18:23:44,8,19.61
18:23:45,7,19.1
18:23:46,5,22.13
18:23:47,8,20.23
18:23:48,3,24.47
18:23:49,6,34.06
18:23:50,3,28.61
18:23:51,4,23.44
18:23:52,0,16.72
18:23:53,3,25.75
18:23:54,10,18.98
18:23:55,3,21.66
18:23:56,3,20.91
18:23:57,8,24.51
18:23:58,10,30.97
18:23:59,6,16.13
18:24:00,4,34.97
18:24:01,8,16.17
18:24:02,4,24.73
18:24:03,3,28.25
18:24:04,3,32.06
18:24:05,7,31.68
18:24:06,7,17.8
18:24:07,6,26.79
18:24:08,3,31.26
18:24:09,4,20.28
18:24:10,0,16.57
18:24:12,8,16.02
18:24:13,3,28.26
18:24:14,4,17.04
18:24:15,2,16.4
18:24:16,6,29.96
18:24:17,10,23.18
18:24:18,4,29.48
18:24:19,5,19.57
18:24:20,5,26.31
18:24:21,9,32.36
18:24:22,8,30.96
18:24:23,0,20.99
18:24:24,1,29.89
18:24:25,10,18.79
18:24:26,10,30.55
18:24:27,0,16.24
18:24:28,4,31.84
18:24:29,1,27.08
18:24:30,5,32.53
18:24:31,8,25.9
18:24:32,1,29.85
18:24:33,8,22.43
18:24:34,0,15.66
18:24:35,2,34.97
18:24:36,9,30.16
18:24:37,10,30.32
18:24:38,0,27.14
18:24:39,8,25.75
18:24:40,9,26.5
18:24:41,9,18.43
18:24:42,2,22.12
18:24:43,3,29.53
18:24:44,4,33.58
18:24:45,6,22.88
18:24:46,2,26.84
18:24:47,10,18.98
18:24:48,2,34.12
18:24:49,0,15.53
18:24:50,4,21.38
18:24:51,1,15.95
18:24:52,6,20.15
18:24:53,4,20.0
18:24:54,0,29.82
18:24:55,3,31.61
18:24:56,5,31.04
18:24:57,3,29.67
18:24:58,10,18.89
18:24:59,0,25.85
18:25:00,4,21.11
18:25:01,4,28.69
18:25:02,6,34.41
18:25:03,4,32.47
18:25:04,1,16.68
18:25:05,8,23.31
18:25:06,6,28.82
18:25:07,10,34.24
18:25:08,0,27.7
18:25:09,10,25.55
18:25:10,1,27.6
18:25:11,6,25.86
18:25:12,4,19.63
18:25:13,6,26.25
18:25:14,1,17.66
18:25:15,1,18.01
18:25:16,1,17.71
18:25:17,4,28.65
18:25:18,4,31.09
18:25:19,6,30.8
18:25:20,10,15.0
18:25:21,5,24.89
18:25:22,3,22.39
18:25:23,4,22.5
18:25:24,3,22.71
18:25:25,2,18.03
18:25:26,1,26.29
18:25:27,2,19.18
18:25:28,5,22.42
18:25:29,7,28.23
18:25:30,0,28.21
18:25:31,10,21.26
18:25:32,2,30.83
18:25:33,0,28.35
18:25:34,6,25.14
18:25:35,5,29.69
18:25:36,3,19.54
18:25:37,0,34.08
18:25:38,9,22.22
18:25:39,5,34.69
18:25:40,0,31.78
18:25:41,8,25.55
18:25:42,10,15.51
18:25:43,2,32.52
18:25:44,2,18.13
18:25:45,4,27.76
18:25:46,0,29.07
18:25:47,2,34.02
18:25:48,1,26.74
18:25:49,1,21.63
18:25:50,2,24.29
18:25:51,0,23.78
18:25:52,2,21.29
18:25:53,3,16.88
18:25:54,7,26.1
18:25:55,0,30.08
18:25:56,4,24.31
18:25:57,0,17.31
18:25:58,6,23.81
18:25:59,10,26.01
18:26:00,5,32.69
18:26:01,8,20.79
18:26:02,9,19.81
18:26:03,5,30.19
18:26:04,10,29.75
18:26:05,10,23.31
18:26:06,2,17.52
18:26:07,5,33.48
18:26:08,7,17.09
18:26:09,1,30.71
18:26:10,1,27.09
18:26:11,5,18.19
18:26:12,3,18.97
18:26:13,8,21.08
18:26:14,2,31.88
18:26:15,10,30.9
18:26:16,1,31.76
18:26:17,4,34.08
18:26:18,2,23.31
18:26:19,7,28.95
18:26:20,4,22.88
18:26:21,4,22.19
18:26:22,6,22.33
18:26:23,0,21.49
18:26:24,3,28.16
18:26:26,6,24.27
18:26:27,3,23.21
18:26:28,8,34.89
18:26:29,1,30.52
18:26:30,6,29.43
18:26:31,3,20.2
18:26:32,9,21.61
18:26:33,10,19.95
18:26:34,8,17.98
18:26:35,8,22.93
18:26:36,7,24.42
18:26:37,3,27.4
18:26:38,2,30.18
18:26:39,5,33.54
18:26:40,2,30.78
18:26:41,4,17.92
18:26:42,6,20.51
18:26:43,4,33.93
18:26:44,9,32.66
18:26:45,9,29.21
18:26:46,3,27.58
18:26:47,1,24.56
18:26:48,6,33.45
18:26:49,8,23.4
18:26:50,4,18.24
18:26:51,7,26.97
18:26:52,8,34.55
18:26:53,8,17.65
18:26:54,6,26.63
18:26:55,5,17.84
18:26:56,3,26.13
18:26:57,6,34.34
18:26:58,2,17.15
18:26:59,3,33.01
18:27:00,10,17.27
18:27:01,2,33.04
18:27:02,9,18.56
18:27:03,10,19.8
18:27:04,6,20.42
18:27:05,3,28.01
18:27:06,5,30.75
18:27:07,5,33.18
18:27:08,7,26.55
18:27:09,2,28.78
18:27:10,1,30.59
18:27:11,4,18.8
18:27:12,9,24.99
18:27:13,7,16.06
18:27:14,10,25.62
18:27:15,7,30.27
18:27:16,10,15.62
18:27:17,3,26.75
18:27:18,7,18.81
18:27:19,1,22.04
18:27:20,5,26.06
18:27:21,2,17.85
18:27:22,6,18.22
18:27:23,6,19.84
18:27:24,8,26.63
18:27:25,1,20.76
18:27:26,5,25.36
18:27:27,6,33.67
18:27:28,3,27.68
18:27:29,3,23.77
18:27:30,1,20.8
18:27:31,6,20.12
18:27:32,6,27.16
18:27:33,7,29.66
18:27:34,2,33.78
18:27:35,2,27.93
18:27:36,9,31.36
18:27:37,3,32.13
18:27:38,5,21.61
18:27:39,6,32.08
18:27:40,6,17.47
18:27:41,0,23.09
18:27:42,1,29.99
18:27:43,9,20.72
18:27:44,6,19.86
18:27:45,6,32.76
18:27:46,7,22.75
18:27:47,5,16.78
18:27:48,2,27.21
18:27:49,7,16.69
18:27:50,9,21.68
18:27:51,4,33.75
18:27:52,8,15.84
18:27:53,4,28.37
18:27:54,9,23.72
18:27:55,10,34.77
18:27:56,3,18.33
18:27:57,2,31.95
18:27:58,6,27.17
18:27:59,0,24.34
18:28:00,5,34.59
18:28:01,10,24.83
18:28:02,10,24.72
18:28:03,7,29.35
18:28:04,1,26.7
18:28:05,1,25.21
18:28:06,7,34.02
18:28:07,8,28.84
18:28:08,8,24.05
18:28:09,1,25.25
18:28:10,4,18.36
18:28:11,1,34.31
18:28:12,4,20.24
18:28:13,2,30.76
18:28:14,4,22.4
18:28:15,2,18.63
18:28:16,10,26.5
18:28:17,6,33.28
18:28:18,6,34.06
18:28:19,3,18.96
18:28:20,0,15.94
18:28:21,2,33.09
18:28:22,0,26.51
18:28:23,6,30.52
18:28:24,7,27.29
18:28:25,5,15.51
18:28:26,1,24.97
18:28:27,0,23.46
18:28:28,5,23.38
18:28:29,4,19.28
18:28:30,2,16.66
18:28:31,3,26.8
18:28:32,9,26.42
18:28:33,1,18.16
18:28:34,10,25.67
18:28:35,8,33.17
18:28:36,10,33.2
18:28:37,7,29.72
18:28:39,5,28.36
18:28:40,6,16.01
18:28:41,3,22.3
18:28:42,2,33.15
18:28:43,5,23.08
18:28:44,1,34.12
18:28:45,2,15.8
18:28:46,2,30.3
18:28:47,0,34.78
18:28:48,10,25.56
18:28:49,2,23.18
18:28:50,2,16.08
18:28:51,1,28.32
18:28:52,0,24.22
18:28:53,0,21.27
18:28:54,1,28.34
18:28:55,8,25.24
18:28:56,9,27.06
18:28:57,5,31.03
18:28:58,5,19.83
18:28:59,7,34.81
18:29:00,7,24.72
18:29:01,9,28.88
18:29:02,3,33.1
18:29:03,9,23.48
18:29:04,6,17.48
18:29:05,1,30.6
18:29:06,2,18.69
18:29:07,4,34.75
18:29:08,0,15.61
18:29:09,10,29.23
18:29:10,7,21.23
18:29:11,4,34.25
18:29:12,6,27.43
18:29:13,6,15.45
18:29:14,4,31.81
18:29:15,0,29.98
18:29:16,1,30.16
18:29:17,3,27.19
18:29:18,9,23.17
18:29:19,3,30.9
18:29:20,6,28.35
18:29:21,5,21.73
18:29:22,6,19.43
18:29:23,2,25.1
18:29:24,5,31.19
18:29:25,3,18.98
18:29:26,0,23.02
18:29:27,10,27.53
18:29:28,0,18.26
18:29:29,10,27.85
18:29:30,9,27.88
18:29:31,7,26.11
18:29:32,1,32.1
18:29:33,1,22.83
18:29:34,6,24.2
18:29:35,3,16.51
18:29:36,0,30.11
18:29:37,5,17.73
18:29:38,9,17.07
18:29:39,4,33.95
18:29:40,3,18.23
18:29:41,0,25.99
